Token                Tipo                 Linea      Columna   
;                    punto y coma         24         17        
end                  Palabra reservada    25         1         
;                    punto y coma         25         4         
a                    identificador        26         1         
++                   operador             26         2         
;                    punto y coma         26         4         
c                    identificador        27         1         
--                   operador             27         2         
;                    punto y coma         27         4         
x                    identificador        28         1         
=                    operador             28         2         
3                    entero               28         3         
3                    real                 28         3         
+                    operador             28         5         
4                    entero               28         7         
4                    real                 28         7         
;                    punto y coma         28         8         
do                   Palabra reservada    29         1         
y                    identificador        30         4         
=                    operador             30         5         
(                    parentesis           30         6         
y                    identificador        30         7         
+                    operador             30         9         
1                    entero               30         11        
1                    real                 30         11        
)                    parentesis           30         12        
*                    operador             30         13        
2                    entero               30         15        
2                    real                 30         15        
+                    operador             30         17        
1                    entero               30         19        
1                    real                 30         19        
;                    punto y coma         30         20        
while                Palabra reservada    31         4         
(                    parentesis           31         10        
x                    identificador        31         11        
>                    operador             31         13        
7                    entero               31         15        
7                    real                 31         15        
)                    parentesis           31         16        
{                    llave abierta        31         17        
{                    Llave abierta        31         17        
x                    identificador        32         5         
=                    operador             32         6         
6                    entero               32         7         
6                    real                 32         7         
+                    operador             32         9         
8                    entero               32         11        
8                    real                 32         11        
/                    operador             32         13        
9                    entero               32         15        
9                    real                 32         15        
*                    operador             32         17        
8                    entero               32         19        
8                    real                 32         19        
/                    operador             32         21        
3                    entero               32         23        
3                    real                 32         23        
;                    punto y coma         32         24        
cin                  Palabra reservada    33         5         
x                    identificador        33         9         
;                    punto y coma         33         10        
mas                  identificador        34         4         
=                    operador             34         7         
36                   entero               34         8         
36                   real                 34         8         
/                    operador             34         10        
7                    entero               34         11        
7                    real                 34         11        
;                    punto y coma         34         12        
}                    llave cerrada        35         4         
}                    Llave cerrada        35         4         
;                    punto y coma         35         5         
until                Palabra reservada    37         2         
(                    parentesis           37         7         
y                    identificador        37         8         
=                    operador             37         9         
=                    operador             37         10        
5                    entero               37         11        
5                    real                 37         11        
)                    parentesis           37         12        
;                    punto y coma         37         13        
while                Palabra reservada    38         2         
(                    parentesis           38         7         
y                    identificador        38         8         
=                    operador             38         9         
=                    operador             38         10        
0                    entero               38         11        
0                    real                 38         11        
)                    parentesis           38         12        
{                    llave abierta        38         13        
{                    Llave abierta        38         13        
cin                  Palabra reservada    39         5         
mas                  identificador        39         9         
;                    punto y coma         39         12        
cout                 Palabra reservada    40         5         
x                    identificador        40         10        
;                    punto y coma         40         11        
}                    llave cerrada        41         1         
}                    Llave cerrada        41         1         
;                    punto y coma         41         2         
}                    llave cerrada        42         1         
}                    Llave cerrada        42         1         
